Date Of Review,Followers,Likes,Name Of Reviewer,Restaurant Name,Restaurant id,Review,Reviewer ID,Reviewer Rating,Total Ratings given
2018-12-01 23:28:11,                          781                                                         ,0 ,            Rinki Musaddi          ,            Burma Burma          ,18625420,"Rated                                             Awesome awesome place for authentic Burmese menu suitable for Indian palette! Loved what I ate, everything is superb .. Only thing is they add coconut oil / milk in some of the dishes; so if you don't have a taste for it better check n order. Caution : no prior booking of table they take & waiting is quite long!                                                             ",40378167, 5.0,                                                                    201                                 
2018-11-28 09:37:08,                          465                                                         ,1 ,            Poonam Rao          ,            Burma Burma          ,18625420,"Rated                                             We came here for an early dinner on a Monday evening. Since they don’t have reservations, coming a little later in the day would mean quite a wait. And for a good reason, the food is fabulous! We started with the samosa soup, which is a really yum hot spicy soup ( it is filling, so recommended you split it) and followed it with the steamed mushroom bun ( another super yum order) and wa potatoes ( this is quite ordinary, so try something else) for two of us, this was quite a bit, but we anyway decided to try the steamed sticky rice withe a filling ( interesting, if sticky rice is your thing). But all in all, great food, decent service, would definitely come here again to try the food I couldn’t the last time. The decor also is really nice, the colour of the wood used,mixed with the tea pots and hints of bamboo really add to the ambience.                                                            ",40308443, 5.0,                                                                    55                                 
2018-11-27 23:45:43,                          778                                                         ,0 ,            Deepti          ,            Burma Burma          ,18625420,"Rated                     This place came highly recommended and we made the arduous trip to Indira Nagar exclusively to eat here. We had to wait for more than half an hour to get a table (they don’t take phone reservations) but it was definitely worth the wait. As vegetarians we have limited choices when it comes to unique cuisines. Burma Burma is exclusively vegetarian and most of the dishes are practically vegan. Food: The Samosa soup was the first thing we tried and it was even better than expected. Next we moved on to Mopi Salai (pan fried dumplings served in a ‘paniyaram’ pan) and Kyar Yor Thoke (Lotus root salad). Both were good. For the main course we tried ‘Oh no Khowsuey’ - a dish rich in coconut milk served with a variety of condiments. And despite the fact that we were bursting at the seams, we ordered the Smoked avocado icecream with honey caviar which was presented with a lot of (smokey) theatrics. Service: Excellent. Hygiene: Found it slightly wanting. Our first bowl of salad had hair in it which we thankfully spotted soon after we started eating. They replaced it with a fresh bowl. This was definitely a let down and slightly marred the otherwise great dinner.Price: Not bad. Summary: Great place to eat for vegetarians. Good food and service. ",40305875, 4.0,                                                                    94                                 
2018-11-24 00:50:18,                          616                                                         ,1 ,            Lord Of Good Food          ,            Burma Burma          ,18625420,"Rated                     Hands down the best vegetarian place in the city. I have fallen in love with Burmese cuisine. Have been there twice and had some delectable food, drinks and desserts.Here's what I have had so far: 👘 Nutella bubble tea or Boba: It's yummy. A must order if you like bubble teas.🍲 Samuza Hincho or Samosa soup: Yes you read that right. Never thought would have samosa in a soup. It is the best soup I have had (I usually hate soups).🌽 Creamed corn paratha: Flaky parathas with creamed corn. I have never tasted corn so good. And the paratha can't get flakier. Loved it.🍔 Mushroom Steamed Buns: These are like mushroom filled burgers. Good for appetizers.🍜 Burma Burma Khao Suey: The best Khao Suey you will get in Bangalore. Made with coconut milk stirred with lemongrass, tamarind and diced Asian veggies over noodles and served with 6 condiments. It's lip-smacking.🍝 Chinatown noodles: Tasty street style noodles. Have it with the condiments they serve on the table. 🍨 Smoky Avocado Honey Caviar Ice-cream: The best ice-cream I have had in a while. Want to come back again and again for this.🍮 Tagu Pyian: This dessert is a Burma Burma specialty. It's their take on Thagu Pyin (palm sugar sago), a Burmese dessert. Instead they cook this sago with palm jaggery and serve with coconut custard. I found it yummy but not everyone would like it.Food is definitely 5⭐️, so is the ambience and the service.It is priced on the higher side and a meal for two can easily cost 1500+ depending on how much you eat.A must visit place on 12th main, Indiranagar.                                         ",40240542, 5.0,                                                                    109                                 
2018-11-23 22:29:30,                          423                                                         ,1 ,            Foodopotamus          ,            Burma Burma          ,18625420,"Rated                                             what a place 😍Went there for a quick lunch but ended up ordering so many things.Samosa soup is a must must try.Crunchy Tofu Bun (1st in the menu) was just mind blowing, comes in set of 4.Tohu mash with paratha (masala made of besan) was yummy.Pan fried rice dumplings we're ok, I would don't go for it, better try something else from the menu.Nangyi khowsuey/dry khowsuey (noodles) was just amazing, it's a Shan delicacy of rice noodles with gram flour, roasted red chilly, garlic and tamarind. Will be served with 6 toppinngs, I would strongly suggest don't put access of any of the toppinngs, it can destroy the dish.In desserts we went for smokey avocado honey, which was okayisssh but Rangoon baked milk was amazing. You might find the quality to be less, but it's worth trying.Ambience is waoo and it's amongst a must try places for the vegetarians as well as the non vegetarians (when u are not in a mood to have non veg 😋)                                                             ",40237935, 5.0,                                                                    102                                 
2018-11-23 21:22:38,                          47                                                         ,0 ,            Nikita Shah          ,            Burma Burma          ,18625420,"Rated                                             My second visit to this place and there are a lot more visits for sure. It's simply amazing to taste cuisines from various parts of the world and this place truly serves delicious Burmese food!We ordered their famous samosa soup this time (finally!) and it was delicious. It did not feel too heavy to the palatte as well. Then came in the lotus stem crisps that were cooked to perfection. The thin slices of lotus stem were served so crunchy that remained the same even after they cooled down. Then came the spicy paneer baos and oh my god, they just melted in our mouth!We obviously couldn't stop ourselves from ordering the Khao suey that came with the condiments and was just so yummy. Finally we ordered a simple noodles for the kids and the kids loved it.Waiting to head back soon so I can try the other things as well 😉                                                            ",40236527, 5.0,                                                                    35                                 
2018-11-20 14:07:07,                          706                                                         ,0 ,            MSM          ,            Burma Burma          ,18625420,"Rated                                             Fab food! Great option for vegetarians as well as non vegetarians (didn't miss the meat at all)!!! We tried quite a few dishes but the stand outside were the Taungyi Shan style Khowsuey, mohingar (Burmese national dish) & fried rice with tea leaf which we had with a Burmese style stir fry. Do definately add the sauces to your meal especially the tamarind one! Super experience.                                                            ",40185035, 5.0,                                                                    115                                 
2018-11-18 15:51:14,                          104                                                         ,1 ,            Sapna Panjabi          ,            Burma Burma          ,18625420,"Rated                     Finally ended up in this place after a very long time and the huge hype of this place. Definitely worth it, the cuisine here is so yummy and different and with pure veg menu they yet have some great options. Really enjoyed here.We started off with the famous Samosa soup and a Pitcher of their purple drink it was just amazing, it was so flavorful and yum. Then for starters we had the open dumplings which was a different concept again and it was just mind blowing! The steamed buns were one of the best I have tasted till today. The sauces that they served on the table were also very good and not very spicy as they told.For the main course we were already so filled but yet we ordered their noodles and the black sticky rice. The noodles flavor was awesome and the sticky rice was something different and new, one can order this if you want to try something other than the usual.DESSERTS : The best part on the menu. We ordered for the avocado ice cream and the Madras kappi but the Madras kappi was not available and hence he was very sweet to give us their famous chocolate bomb on the house. Nothing can ever go wrong with the desserts, both were just amazing. Being only 4 of us we really over ate.Highly recommended and will definitely go back here soon.                                         ",40154480, 5.0,                                                                    31                                 
2018-11-14 08:24:27,                          1091                                                         ,2 ,            Mayuri Nidigallu          ,            Burma Burma          ,18625420,"Rated                                             Burma Burma has been on my must-visit list forever. I keep missing doing so when in Mumba. However, on this trip to Bangalore, I had made up my mind that I WOULD visit it, come what may! And I did!.What can I say, except that it lives upto all that I have read and heard about it..Lovely ambience, and aesthetically pleasing interiors, the Teal is so soothing,.Alert and cheerful service..We had;The Samusa Soup - unique and outstanding. A party of flavours in my mouth.The Tea Leaf Salad - recommended by the wait staff - it was meh!(P:S: I really, really wanted the Raw Mango Salad, but he said this one was better)Burmese Fried Rice - Delicately flavored, with a spicy kick!Dessert was the Burma Bombe - the sweet end to a flavorful meal. Salted Caramel, nuts, chocolate and ice cream. Heaven on a plate!.Burma Burma is not easy on the pocket, but it is definitely worth a visit if you are looking for food that looks good, tastes good and steers away from the beaten path.",40087545, 5.0,                                                                    167                                 
2018-11-12 19:54:22,                          368                                                         ,0 ,            Anirudha          ,            Burma Burma          ,18625420,"Rated                                             Heard a lot about this place, so we decided to check it out for lunch.We ordered Kachin Style Dried Mustard Soup, Raw Mango Salad, Fried Rice with Tea Leaf, Eggplant Long Beans and Tofu Curry. All the dishes were extremely tasty and had sizeable portions for 2!Definitely a must visit. Cost per person - ₹1.2kFood - 4.5/5Ambience - 4/5Service - 4.5/5",40067966, 5.0,                                                                    29                                 
2018-11-12 10:41:03,                          478                                                         ,1 ,            Monideepa Chandra          ,            Burma Burma          ,18625420,"Rated                     I was very curious when I got to know about the place and all the buzz in the town..I wondered what does make a vegetarian restaurant so unique that everyone is talking about it. And it was my 4th attempt to dine here because every time I went there was a long queue so this time I made up mind and waited for 1 hour to get a seat. Let me tell you being a bong my love for fishes and non veg food are very obvious still I chose this place and convinced my husband to have a dinner.. First dish which I have ordered is mock meat skewers and it's real yum we were keep on guessing the ingredients is made of.. And got to know from chef, and m not revealing and letting u people to guess it..I don't remember the each dish names as they r very difficult to remember..But I do like each and every dishes and all are so unique..So guys if you haven't visited the place yet please go and check this out ..We didn't get Madras kappi and avocado ice cream to taste which r the signature dishes and ended up ordering Burma Burma bomb and I loved it..I will visit again this place and next time I will be ordering dessert first.. ;)                                        ",40060914, 5.0,                                                                    83                                 
2018-11-11 21:33:36,                          49                                                         ,0 ,            Megha Agarwal          ,            Burma Burma          ,18625420,"Rated                                             Amazziiinngg food and lovely ambience. Tried this cuisine for the first time and wasn’t a bit disappointed. Their dishes are really unique and different. Samosa soup is a must try. They have a tamarind drink- don’t remember the name exactly but it was awesome. Nutella bubble shake was good. Apart from these we ordered khao suey,  steamed buns and few other dishes. Overall a great experience.                                                            ",40054503, 5.0,                                                                    18                                 
2018-11-11 20:26:12,                          146                                                         ,0 ,            Tushar Shukla          ,            Burma Burma          ,18625420,"Rated                     Having heard a lot about Burma Burma, I finally visited this place this weekend. The ambiance was splendid, with every corner and artefact displaying an exotic touch- ornate tea shelves with tea kettles, equipments, tea jars, Burmese toy figurines, eclectic collection of merchandise(looked like straight out of a Wes Anderson film like The Darjeeling Limited or Grand Budapest Hotel), interesting concrete ceiling lampholders, and contemporary concrete wall look. This raised our expectations sky high. We went with a Samosa Soup and Tea Leaf Salad for starters. The soup was great- very interesting level of spicy, a slight touch of sweet balancing the spice, and the crispiness of a very Indian samosa dunked in along with nuttiness of fresh greens and sprouts and black chana. It was unlike any broth based dish I have tasted before. The Tea Leaf Salad however, was quite underwhelming. The salad leaves looked and felt wilted, the only crunchiness was provided by an overuse/abuse of roasted nuts, which were more like the ones we get commonly in the street fried mixtures. For a Tea Leaf salad, my expectations were certainly higher than that. At the least I expected to taste the fermented/bitter tea leaves that would leave me with an experience of trying something exotic. But this tasted more like wilted lettuce drenched in vinegar and oil. And may be the crispy stuff can be served separately, so that people can add it as much as they would prefer. On to the mains, we went with the signature Oh No Khow Suey. It was quite aromatic, and all the things you expect from a good Khow Suey- fresh broth with a range of flavors from fresh greens, crispy garlic and onion shreds, dusted peanuts, wedge of lime. I liked that the gravy wasn’t thick and sweet, and had a nice sprinkling of chilli oil to not make you sleep while you finish the bowl. A word on the service. Although the staff was helpful with advice, it felt at times they were too intrusive, constantly asking us to order the next course. When you are out at a fine dine, you expect to take longer to absorb the menu and the place, and such service only tends to ruin your experience. Also, it felt like the staff was focusing more on the larger groups. All in all, an average experience at a much touted exotic diner.                                        ",40052844, 3.0,                                                                    45                                 
2018-11-08 19:08:13,                          92                                                         ,1 ,            Nikhil Singla          ,            Burma Burma          ,18625420,"Rated                                             After hearing a lot about this place ,I went for lunch with my colleagues . As burmese cuisine was new for all of us , we opted for their premium gold buffet .Their buffet is not like typical buffet, here everything is served at table depending on what we order from given options.I choose samosa soup from 2 given options which was spot on and set the expectations really high . Even salads were great but main course and desserts didn't click me .However presentation was good , flavours were not blending well .I feel buffet is not worth 1400 ,definitely not value for money place.Also I didn't like the service , staff looks novice and full of attitude, which screws up the mood completely . Management please work on it .",40003025, 2.0,                                                                    32                                 
2018-11-08 16:58:32,                          52                                                         ,0 ,            Ashish Fatnani          ,            Burma Burma          ,18625420,Rated                                             Burma Burma is a unique place !For starters it's food is completely vegetarian.Second this place also has a great collection of teaWhen we visited this place we actually ordered their fixed 3 course menu and the review is for that !Food - 10/10 (samosa soup is recommended)Quality - 10/10Service - 10/10Presentation- 10/10Price - 8/10 but worth it since they send it to charityThe other thing we liked here were the deserts. Avocado ice cream was orgasmic !Also remember they donate most of the money to charity so I would definitely support a restaurant like this !A must visit                                                             ,40001623, 4.0,                                                                    23                                 
2018-11-07 09:13:59,                          130                                                         ,2 ,            Neeru          ,            Burma Burma          ,18625420,"Rated                     Well this was such a serendipitous discovery. I was out with my girls on a bright Saturday afternoon in Indiranagar. As they were veggies and game to try out any cuisine, we decided on this place Burma Burma. It is located right smack opposite to The Pizza Bakery, and google location is accurate. It is a very unassuming place and its entryway reminded me of the Leaky Cauldron (get it, Harry Potter fans?). You won’t find it unless you are looking for it. We walked here, so am not sure of the parking situation. I believe there is a valet, but not 100% sure. When we walked in at around 130 pm, the place was packed and the hosts graciously informed us that it might take us close to 15 minutes for a table. All 3 of us were really famished but seeing the crowd we decided that it might be worth the wait and decided to wait at the bar. We were given the menus and asked to go over it while we waited. This place is a restaurant and a tea room and as soon as you enter you see this display of tea and tea pots that are also for sale. Looks cute. The ambience is also nice and I especially liked the coloured umbrellas that were hanging in the ceiling. Pretty unique. The servers and the hosts are very polite and knowledgable on their menu. If you are confused as to what to order, just ask them and they will help you out. The service is also fast considering that they were fully occupies when we were there.The menu is a hotchpotch of Burmese delicacies. I was ignorant to the fact that the Burmese cuisine is so diverse and this place provided an apt education in that department. We wanted to try everything, but decided to take it one step at a time. For drinks, we ordered a pitcher of pomegranate and mandarin spritzer. If you are a large group, I would totally recommend you go for the pitcher as it gives 6 glasses of the drink easily. As for the drink itself, it was meh. This was my least favourite part of the meal. It was way too sour and the pomegranate seeds in it were not fresh. I could hardly taste the so called mandarin in the drink. For starters, we ordered a raw mango salad. I actually saw this dish being ordered by some other table and asked the waiter for its name. Good call, that. The salad turned out to be delicious. Thin slices of mango with peppers, flavoured with a nice sweet and sour dressing and topped with crispy peanuts. Yummm! All 3 of us totally loved it. Would recommend this if you are a fan of raw food.For main course, we had their house speciality, the Burma Burma Oh No Khao Suey with hakka noodles. You do have the choice to try different noodles with the Khao Suey here but we went with the default option. Now, if you have read my reviews, I totally love Khao Suey and before this place, this was the only Burmese dish  that I knew of. This place, by far has the best khao suey that I have tasted so far. Totally. It is not too thick, very creamy and the flavour is just perfect. The condiments that accompany it is also very well made. One of my friends liked it so much that she was taking small sips of it through the entire meal just to make the flavour last.We also ordered the Burmese style stir fried vegetables. The sauce that was used was very nice and a little high on turmeric. We didnt mind it a bit. The flavour was nice but it was eclipsed by the amazing Khao Suey. After all this, we were still hungry so we decided to go for the Burmese Fried Rice. This again was very well made. The rice was cooked just perfect and the veggies were cooked in such a way that it had a crispness to it. We really liked it.We were finally full after all this and decided with heavy hearts to skip the dessert. The total bill for the 3 of us was around INR 2600, which is a little on the higher side. So, if you want to treat yourself and try out a new cuisine, I would totally recommend you add a little Burmese to your menu and head over to this place. Until next time!                                        ",39985923, 4.0,                                                                    66                                 
2018-11-07 03:46:04,                          163                                                         ,2 ,            The Bhukkad Vakeel          ,            Burma Burma          ,18625420,"Rated                     Date of visit: November 06, 2018I along with three of my friends visited Burma Burma. Thankfully, we did not have to wait too long. Within 10 minutes we were seated at the table.  A perfect family friendly, non-alcoholic, pure-vegetarian, Burmese restaurant. The ambience here is quite soothing and relaxing with interesting, minimalist and modern decor. 👉🏻 What all we ordered: 💁🏻‍♂️ Burmese Blossom: Very refreshing drink prepared with fresh watermelon. Great way to start our dinner. 💁🏻‍♂️ Samosa Soup: Loved it, what a delectable soup. Quite flavourful and we absolutely enjoyed it. Ended up ordering it one more time. 💁🏻‍♂️ Lotus stem crisp: Good starter, something to munch upon. We liked it but could be little more spicier & crispier. Nevertheless, a very popular and good offering. 💁🏻‍♂️ Burmese Falafel: Slightly, disappointed with this. The falafel was deep fried and had a good taste but little dryness to it. The sauce/ gravy was little inadequate for the starter. 💁🏻‍♂️ Burma Burma 'oh no khousuey' with hakka noodles: It fully lives upto all the hype around it. Served with six special condiments, it is a must try at Burma Burma. Flavourful and Palatable, absolutely loved it. The coconut milk flavoured soup leaves a great impression on your taste buds to drool upon. 💁🏻‍♂️ Tea leaf Fried Rice: Slightly dry, the dips came to our rescue. Nevertheless, the uniqueness of the dish left good impressions. An unique offering and had perfect balance of flavour. 💁🏻‍♂️ China Town Noodles: Loved it, quite good. Cooked perfectly and very light on stomach. 💁🏻‍♂️ Smoky Avocado and Honey Cabbir: Quite an unique flavour and very palatable. Served with a separate bowl of liquid nitrogen which adds to the presentation. 💁🏻‍♂️ Madras Kaapi: Just one word 'WOW'. Brilliant presentation and equally amazing taste that will melt your hearts and blow your mind.👍🏻 The service is fast and the servers are well groomed and well trained. Kudos to the entire team for the great job. 👂🏻Feedback: There is some scope for improvement in the starter section. The price is tad bit on the higher side for the quantity offered.Bon Appétit.                                        ",39985112, 4.0,                                                                    25                                 
2018-11-06 13:06:04,                          5228                                                         ,0 ,            One90six          ,            Burma Burma          ,18625420,"Rated                                             A must visit in Indiranagar! Beautiful ambience, good service and great food. I visited the place in a group of 16 people so we tried many different dishes. My expectations were pretty high because I heard a lot of positive reviews about Burma Burma. Starters were indeed amazing but we all were a bit disappointed by mains. They were not bad but didn't match most of our palates. One more disadvantage is the fact that it is not possible to book a table in advance. And considering the fact that this place is 90% of the time packed, makes it a bit inconvenient to visit because once you reach the place, you have to wait most of the time.Things to order:- any of the teas- crispy lotus chips- buns- sticky rice- samosa soup- coconut rice with tomatoes                                                                one90six.com",39974987, 4.0,                                                                    61 Posts                                
2018-11-04 15:38:32,                          86                                                         ,0 ,            Shivakumara Ks          ,            Burma Burma          ,18625420,"Rated                                             So Indiranagar now boasts a family friendly, non-alcoholic, pure-veg, Burmese restaurant. Very relaxing setup, friendly staff, delectable food - plenty of options in each sections like starters, soup and buns and sticky rice main courses topped with tasty desserts (did I say, ice creams?). I have been here three times and the experience has always been good.                                                            ",39947616, 4.0,                                                                    30                                 
2018-11-04 09:34:06,                          1165                                                         ,0 ,            Sanjay Khan Nagra          ,            Burma Burma          ,18625420,"Rated                                             Went for a Friday night dinner. Had to wait a bit, but really liked the ambiance, service, and food.Lotus Root Chips -- Decent, but maybe I'd try another starter next time.Khow Suey -- Super brilliant. Definitely going there again for this.                                                             ",39942354, 5.0,                                                                    140                                 
2018-11-03 15:45:36,                          282                                                         ,0 ,            CalendarKhaanaLao          ,            Burma Burma          ,18625420,"Rated                     Certainly one of the most talked about restaurants in Bangalore. A bit of apprehension due to it being a veg only place followed by several occasions of disappointment due to long queues prevented me from trying it any sooner. We got in this time only because we reached there 10 mins before their doors even opened. Literally, no kidding. Within a matter of few minutes after opening they were close to full and people had already started queueing up.Anyways, we started with our Burmese food journey expecting a whole lot of things. We tried the 'best' or 'recommended' starters - Lotus stem crisps and pan fried dumplings. The chips were a good munching option but not a satisfactory appetizer. Neither of the starters stood out exceptionally for me.Moving on from this rather disappointing start, we went ahead with the mains. All thanks to their Khao Suey which made up for it all. This was something which I truly enjoyed and was very well balanced in flavor. You have an option to pick Udon, Hakka or whole wheat noodles to go in it. Served with a side topping plate consisting of peanuts, garlic etc you can load your dish as per your taste.For desserts, we tried their Banana chocolate mousse and was a winner for me. Decadent, smooth, beautiful looking dish made relishing this indulgence even more enjoyable.We tried their bubble tea and though I'm not a tea person at all, the tea experience is definitely recommended out here.Overall it was a decent experience and the last two dishes made me score them a 4 instead of 3. A good option for a vegetarian place(considering the far and few excellent all veg places).Not value for money but more of an experiential dining experience according to me. I'll probably skip the starters if I do visit this anytime again. But good job on your ambience and attentive service.                                        ",39929802, 4.0,                                                                    75                                 
2018-11-03 13:01:46,                          1413                                                         ,0 ,            Rajlaxmi          ,            Burma Burma          ,18625420,"Rated                                             I Was hearing a lot about this place since I have come to Bangalore. Finally tried it and it was perfect in every possible way. Right from the ambience to music to their courteous staff to the FOOD. Just have one thing to say, try this place, it definitely was beyond my expectation.                                                             ",39926995, 5.0,                                                                    203                                 
2018-11-02 22:02:44,                          249                                                         ,0 ,            Shashank Jaiswal          ,            Burma Burma          ,18625420,"Rated                                             This place was on my list for a long time and finally I visited today. Oh my God! The ambience and music is fantastic. I loved their restroom as well 🤣Food was superb. We ordered their famous samosa soup, Moroccan tea, sticky rice with mushroom among other things. And avocado ice cream for dessert. All were awesome!                                                             ",39919837, 5.0,                                                                    81                                 
2018-11-02 00:34:09,                          2186                                                         ,0 ,            Pavithra Rajagopal          ,            Burma Burma          ,18625420,"Rated                                             Burma Burma on Indiranagar, as the name suggests, caters to specialising in the Burmese cuisine. Although the seating here is limited, the ambience and decor will simply throw you off your feet. The neatly stacked tea cups and saucers are also quite fascinating, and grabbing a cup of tea here wouldn't be a bad idea! We tried their rice dumplings and traditional khao suey - the quantity of both was a little less than expected, but the dishes were exquisite! Cost for two is around Rs1200/-. They also have a list of special bubble teas on their menu. Their dragon fruit tender coconut mocktail is also a good choice. Tag along with a vegetarian and enjoy the journey at Burma Burma!                                                                foodforlife24x7.blogspot.com",39907831, 4.0,                                                                    302                                 
2018-11-01 13:51:02,                          31                                                         ,0 ,            Dhruva Ramdas          ,            Burma Burma          ,18625420,Rated                                             Very unique and good restaurant in indranagar. They have very good ambience and service. Food taste is very unique and different from other restaurants.                                                             ,39896284, 5.0,                                                                    23                                 
